position,songs,streams(billions),Artista(s),Data de lançamento
1,Blinding Lights,3.834,The Weeknd,1905
2,Shape of You,3.649,Ed Sheeran,1905
3,Someone You Loved,3.004,Lewis Capaldi,1905
4,Sunflower,2.949,Post Malone e Swae Lee,1905
5,Dance Monkey,2.914,Tones and I,1905
6,One Dance,2.810,Drake feat. Wizkid e Kyla,1905
7,Rockstar,2.786,Post Malone feat. 21 Savage,1905
8,Stay,2.780,The Kid Laroi e Justin Bieber,1905
9,Starboy,2.728,The Weeknd,1905
10,As It Was,2.723,Harry Styles,1905
11,Believer,2.693,Imagine Dragons,2016
12,Heat Waves,2.675,Glass Animals,2020
13,Perfect,2.659,Ed Sheeran,2017
14,Closer,2.652,The Chainsmokers,2016
15,Señorita,2.546,Shawn Mendes e Camila Cabello,2019
16,Say You Won't Let Go,2.502,James Arthur,2016
17,Lovely,2.465,Billie Eilish e Khalid,2018
18,Sweater Weather,2.421,The Neighbourhood,2012
19,Watermelon Sugar,2.414,Harry Styles,2020
20,Don't Start Now,2.376,Dua Lipa,2019
21,Bad Guy,2.362,Billie Eilish,2019
22,Lucid Dreams,2.347,Juice WRLD,2018
23,Thinking Out Loud,2.333,Ed Sheeran,2014
24,God's Plan,2.320,Drake,2018
25,Photograph,2.307,Ed Sheeran,2014
26,Something Just Like This,2.285,The Chainsmokers e Coldplay,2017
27,Bohemian Rhapsody,2.268,Queen,1975
28,Take Me To Church,2.225,Hozier,2013
29,Shallow,2.223,Lady Gaga e Bradley Cooper,2018
30,Circles,2.219,Post Malone,2019
31,Love Yourself,2.189,Justin Bieber,2015
32,All of Me,2.148,John Legend,2013
33,Thunder,2.132,Imagine Dragons,2017
34,Riptide,2.119,Vance Joy,2013
35,Counting Stars,2.107,OneRepublic,2013
36,Sad!,2.094,XXXTentacion,2018
37,Goosebumps,2.094,Travis Scott feat. Kendrick Lamar,2016
38,7 Rings,2.093,Ariana Grande,2019
39,Stressed Out,2.062,Twenty One Pilots,2015
40,Can't Hold Us,2.054,Macklemore & Ryan Lewis feat. Ray Dalton,2011
41,Wake Me Up,2.052,Avicii,2013
42,Jocelyn Flores,2.032,XXXTentacion,2017
43,The Hills,2.027,The Weeknd,2015
44,Let Her Go,2.003,Passenger,2012
45,Humble,1.991,Kendrick Lamar,2017
46,XO Tour Llif3,1.969,Lil Uzi Vert,2017
47,One Kiss,1.966,Calvin Harris e Dua Lipa,2018
48,Another Love,1.958,Tom Odell,2013
49,Good 4 U,1.958,Olivia Rodrigo,2021
50,Havana,1.951,Camila Cabello feat. Young Thug,2017
51,New Rules,1.949,Dua Lipa,2017
52,Sicko Mode,1.945,Travis Scott feat. Drake,2018
53,Happier,1.944,Marshmello e Bastille,2018
54,Drivers License,1.937,Olivia Rodrigo,2021
55,Demons,1.933,Imagine Dragons,2012
56,Treat You Better,1.921,Shawn Mendes,2016
57,Let Me Love You,1.913,DJ Snake feat. Justin Bieber,2016
58,Lose Yourself,1.909,Eminem,2002
59,No Role Modelz,1.897,J. Cole,2014
60,Do I Wanna Know?,1.884,Arctic Monkeys,2013
61,Sorry,1.882,Justin Bieber,2015
62,Mr. Brightside,1.882,The Killers,2004
63,Levitating,1.878,Dua Lipa feat. DaBaby,2020
64,Yellow,1.877,Coldplay,2000
65,Stay with Me,1.873,Sam Smith,2014
66,Industry Baby,1.869,Lil Nas X feat. Jack Harlow,2021
67,Without Me,1.860,Halsey,2018
68,Lean On,1.857,Major Lazer e DJ Snake feat. MØ,2015
69,Too Good at Goodbyes,1.849,Sam Smith,2017
70,Congratulations,1.830,Post Malone feat. Quavo,2016
71,Better Now,1.826,Post Malone,2018
72,Roses (Imanbek Remix),1.820,Saint Jhn e Imanbek,2019
73,Dakiti,1.819,Bad Bunny e Jhay Cortez,2020
74,Memories,1.819,Maroon 5,2019
75,Uptown Funk,1.814,Mark Ronson feat. Bruno Mars,2014
76,Die for You,1.806,The Weeknd,2017
77,Faded,1.802,Alan Walker,2015
78,I Took a Pill in Ibiza (Seeb Remix),1.793,Mike Posner e Seeb,2015
79,That's What I Like,1.789,Bruno Mars,2016
80,There's Nothing Holdin' Me Back,1.787,Shawn Mendes,2017
81,Without Me,1.784,Eminem,2002
82,Unforgettable,1.781,French Montana feat. Swae Lee,2017
83,Montero (Call Me by Your Name),1.779,Lil Nas X,2021
84,Wonderwall,1.772,Oasis,1995
85,Don't Let Me Down,1.765,The Chainsmokers feat. Daya,2016
86,Smells Like Teen Spirit,1.764,Nirvana,1991
87,"Thank U, Next",1.759,Ariana Grande,2018
88,When I Was Your Man,1.758,Bruno Mars,2012
89,Till I Collapse,1.754,Eminem feat. Nate Dogg,2002
90,Mood,1.737,24kGoldn e Iann Dior,2020
91,Dynamite,1.736,BTS,2020
92,Just the Way You Care,1.735,Bruno Mars,2010
93,I Don't Care,1.731,Ed Sheeran e Justin Bieber,2019
94,Moonlight,1.727,XXXTentacion,2018
95,Don't Stop Me Now,1.718,Queen,1979
96,Stitches,1.716,Shawn Mendes,2015
97,Viva La Vida,1.711,Coldplay,2018
98,The Box,1.709,Roddy Ricch,2019
99,Cold Heart (Pnau Remix),1.705,Elton John e Dua Lipa,2023
100,In the End,1.702,Linkin Park,2000
